name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Jonjo_Shelvey_321,0,0,8,0,2.8,321,45,4,0,5.0,19.2,2020-10-17T19:00:00Z,90,13,0,0,0,0,5,0,19149,4,1,28.0,2,-2081,917,2998,54,True,0
Patrick_Roberts_435,0,0,0,0,0.0,435,46,0,0,0.0,0.0,2019-09-14T16:30:00Z,0,11,0,0,0,0,5,0,4775,2,3,0.0,0,-657,156,813,53,True,0
Gedson_Carvalho Fernandes_401,0,0,0,0,0.0,401,47,0,0,0.0,0.0,2020-10-18T15:30:00Z,0,19,0,0,0,0,5,0,5806,3,3,0.0,0,-511,224,735,49,True,0
Kyle_Edwards_421,0,0,0,0,0.0,421,48,0,0,0.0,0.0,2020-10-19T16:30:00Z,0,4,0,0,0,0,5,0,2071,0,0,0.0,0,-178,50,228,49,True,0
Wesley_Fofana_561,0,0,20,0,0.3,561,43,1,0,2.7,26.6,2020-10-18T18:15:00Z,90,2,0,0,0,0,5,0,1119,1,0,0.0,2,724,891,167,50,True,0
Sam_Byram_454,0,0,11,0,1.0,454,46,2,0,5.7,37.8,2019-09-14T16:30:00Z,90,11,0,0,0,0,5,0,8378,2,3,18.0,0,-396,385,781,44,True,1
Joel_Ward_126,0,0,12,0,14.8,126,48,4,0,4.6,13.0,2019-09-14T14:00:00Z,90,17,0,0,0,0,5,0,148040,0,4,18.0,-1,79448,98355,18907,45,False,1
Eric_Bailly_310,0,0,0,0,0.0,310,45,0,0,0.0,0.0,2020-10-17T19:00:00Z,0,14,0,0,0,0,5,0,20194,4,1,0.0,0,-1613,1453,3066,50,False,0
N'Golo_Kanté_113,0,0,10,0,4.3,113,39,3,0,1.3,8.6,2020-10-17T14:00:00Z,90,16,0,0,0,0,5,0,249646,3,3,0.0,2,-53812,7334,61146,49,True,0
Filip_Krovinovic_555,0,0,10,1,11.2,555,48,0,0,2.1,7.2,2020-10-19T16:30:00Z,78,4,0,0,0,0,5,0,397,0,0,3.0,3,66,127,61,50,True,0
Mario_Lemina_493,0,0,4,0,0.3,493,46,1,0,1.1,2.6,2020-10-18T11:00:00Z,9,15,0,0,0,0,5,0,38955,1,1,8.0,1,-12140,321,12461,45,False,0
Michail_Antonio_389,0,0,0,0,0.0,389,41,0,0,0.0,0.0,2019-09-16T19:00:00Z,0,2,0,0,0,0,5,0,61526,0,0,0.0,0,-13611,62,13673,69,False,0
David_Brooks_76,0,0,0,0,0.0,76,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,9275,1,3,0.0,0,-1450,48,1498,64,True,0
Callum_Wilson_506,0,0,4,0,12.1,506,45,4,0,7.2,6.6,2020-10-17T19:00:00Z,90,13,0,0,0,0,5,0,987870,4,1,53.0,2,237723,341620,103897,65,True,0
Troy_Deeney_362,0,0,0,0,0.0,362,49,0,0,0.0,0.0,2019-09-15T15:30:00Z,0,1,0,0,0,0,5,0,48744,2,2,0.0,0,-15534,91,15625,63,True,0
Jamie_Vardy_224,0,0,0,0,0.0,224,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,2,0,0,0,0,5,0,1748285,1,0,0.0,0,-30736,210612,241348,101,True,0
Eberechi_Eze_489,0,0,0,0,0.0,489,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,3,0,0,0,0,5,0,30130,1,1,0.0,0,-2589,3099,5688,59,True,0
Tom_Davies_154,0,0,0,0,0.0,154,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,3,0,0,0,0,5,0,8149,1,3,0.0,0,-570,267,837,54,False,0
Ryan_Fredericks_438,0,0,0,0,0.0,438,47,0,0,0.0,0.0,2020-10-18T15:30:00Z,0,17,0,0,0,0,5,0,23268,3,3,0.0,0,-4844,724,5568,44,False,0
Rayan_Ait Nouri_563,0,0,0,0,0.0,563,42,0,0,0.0,0.0,2020-10-19T19:00:00Z,0,10,0,0,0,0,5,0,1033,1,0,0.0,0,714,1266,552,50,False,0
Matej_Vydra_93,0,0,0,0,0.0,93,48,0,0,0.0,0.0,2020-10-19T16:30:00Z,0,18,0,0,0,0,5,0,60991,0,0,0.0,0,-3363,10605,13968,50,False,0
Robbie_Brady_98,0,0,0,0,0.0,98,43,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,4,0,0,0,0,5,0,1137,1,1,0.0,0,-102,28,130,55,False,0
Mason_Greenwood_234,0,0,0,0,0.0,234,45,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,9,0,0,0,0,5,0,990422,0,1,0.0,0,-11156,112190,123346,45,True,0
Wesley_Moraes_48,0,0,0,0,0.0,48,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,9,0,0,0,0,5,0,738,1,0,0.0,0,-12,131,143,60,False,0
Jürgen_Locadia_45,0,0,0,0,0.0,45,43,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,5,0,0,0,0,5,0,9559,1,1,0.0,0,-4219,32,4251,53,True,0
David_Silva_219,0,0,4,0,9.6,219,46,3,0,2.0,0.0,2019-09-14T16:30:00Z,56,14,0,0,0,0,5,0,572522,2,3,11.0,1,199690,241437,41747,75,False,0
Nathan_Ferguson_145,0,0,0,0,0.0,145,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,3,0,0,0,0,5,0,76797,1,1,0.0,0,-10042,6764,16806,40,True,0
Mateo_Kovacic_107,0,0,0,0,0.0,107,39,0,0,0.0,0.0,2020-10-17T14:00:00Z,0,16,0,0,0,0,5,0,24648,3,3,0.0,0,-3630,2319,5949,55,True,0
Trent_Alexander-Arnold_182,0,0,19,0,102.6,182,44,1,0,17.3,34.4,2019-09-14T11:30:00Z,90,13,0,0,0,0,5,0,1794553,1,3,36.0,2,203477,252915,49438,71,True,0
Matt_Doherty_457,0,0,0,0,0.0,457,47,0,0,0.0,0.0,2020-10-18T15:30:00Z,0,19,0,0,0,0,5,0,809078,3,3,0.0,0,-167597,16188,183785,59,True,0
Conor_Coady_403,0,0,11,0,0.2,403,50,5,0,1.3,12.8,2019-09-14T14:00:00Z,90,6,0,0,0,0,5,0,111369,5,2,0.0,0,933,9177,8244,50,True,0
Daniel_Amartey_227,0,0,0,0,0.0,227,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,2,0,0,0,0,5,0,93264,1,0,0.0,0,-14928,4563,19491,40,True,0
Jordan_Hugill_444,0,0,0,0,0.0,444,47,0,0,0.0,0.0,2020-10-18T15:30:00Z,0,17,0,0,0,0,5,0,550,3,3,0.0,0,-12,41,53,55,False,0
Paul_Pogba_238,0,0,0,0,0.0,238,45,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,9,0,0,0,0,5,0,378842,0,1,0.0,0,-191711,4895,196606,85,True,0
Nampalys_Mendy_518,0,0,13,1,2.2,518,43,0,0,1.2,9.8,2020-10-18T18:15:00Z,77,2,0,0,0,0,5,0,218984,1,0,0.0,3,-11967,24076,36043,45,True,0
Lucas_Rodrigues Moura da Silva_345,0,0,2,0,0.1,345,48,0,0,0.0,0.0,2019-09-14T14:00:00Z,5,7,0,0,0,0,5,0,473857,0,4,0.0,1,-121631,18379,140010,74,True,0
Lys_Mousset_70,0,0,2,0,0.3,70,47,0,0,2.5,0.2,2019-09-14T14:00:00Z,18,16,0,0,0,0,5,0,21400,1,0,24.0,1,-317,2521,2838,49,True,0
Kortney_Hause_39,0,0,0,0,0.0,39,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,9,0,0,0,0,5,0,4067,1,0,0.0,0,-778,44,822,44,False,0
Mohamed_Elyounoussi_322,0,0,0,0,0.0,322,47,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,15,0,0,0,0,5,0,2494,1,0,0.0,0,-749,9,758,54,False,0
Bukayo_Saka_24,0,0,18,0,17.5,24,44,1,0,7.6,20.6,2020-10-17T16:30:00Z,90,12,0,0,0,0,5,0,224096,0,1,38.0,2,-24953,16280,41233,53,False,0
Phil_Jones_231,0,0,0,0,0.0,231,45,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,9,0,0,0,0,5,0,11383,0,1,0.0,0,-679,497,1176,49,True,0
Michael_Keane_143,0,0,12,0,0.7,143,42,3,0,1.4,13.6,2019-09-15T13:00:00Z,90,3,0,0,0,0,5,0,249449,1,3,0.0,1,-3428,18657,22085,55,False,0
Andreas_Christensen_108,0,0,15,0,0.3,108,50,2,0,2.3,22.6,2019-09-14T14:00:00Z,90,20,0,0,0,0,5,0,77756,5,2,0.0,0,-12379,4412,16791,50,False,1
Danny_Ings_366,0,1,27,0,0.9,366,39,3,1,9.8,36.4,2020-10-17T14:00:00Z,90,5,0,0,0,0,5,0,1312469,3,3,61.0,7,-153461,73937,227398,85,False,0
Isaac_Success Ajayi_365,0,0,0,0,0.0,365,49,0,0,0.0,0.0,2019-09-15T15:30:00Z,0,1,0,0,0,0,5,0,43131,2,2,0.0,0,-1847,3595,5442,49,True,0
Emil_Krafth_519,0,0,8,0,4.3,519,44,2,0,3.7,10.6,2019-09-14T11:30:00Z,66,10,0,0,0,0,5,0,5529,1,3,22.0,1,70,532,462,45,False,0
Sergio_Agüero_268,0,0,14,1,35.2,268,44,0,0,4.9,4.0,2020-10-17T16:30:00Z,64,1,0,0,0,0,5,0,98872,0,1,10.0,2,-1486,14179,15665,104,True,0
Pierre-Emerick_Aubameyang_4,0,0,7,0,29.9,4,44,1,0,4.1,8.6,2020-10-17T16:30:00Z,90,12,0,0,0,0,5,0,1397443,0,1,2.0,2,-582811,29415,612226,118,False,0
Thomas_Partey_567,0,0,2,0,0.3,567,44,0,0,0.3,3.0,2020-10-17T16:30:00Z,7,12,0,0,0,0,5,0,36405,0,1,0.0,0,30080,33915,3835,50,False,1
Islam_Slimani_579,0,0,3,0,11.7,579,43,1,0,1.8,0.2,2020-10-18T18:15:00Z,19,2,0,0,0,0,5,0,0,1,0,6.0,1,0,0,0,50,True,0
Pedro_Rodríguez Ledesma_114,0,0,0,0,0.0,114,50,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,20,0,0,0,0,5,0,113355,5,2,0.0,0,-35342,1219,36561,70,False,0
Marcus_Rashford_233,0,3,34,1,16.0,233,45,0,1,7.4,38.4,2019-09-14T14:00:00Z,90,9,0,0,0,0,5,0,1289403,0,1,20.0,9,-335976,27166,363142,85,True,0
Reece_James_506,0,0,0,0,0.0,506,50,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,20,0,0,0,0,5,0,3144,5,2,0.0,0,16,486,470,50,False,0
Ahmed_El Mohamady_29,0,0,0,0,0.0,29,43,0,0,0.0,0.0,2020-10-18T18:15:00Z,0,9,0,0,0,0,5,0,26449,1,0,0.0,0,-2084,1041,3125,44,False,0
Jordan_Pickford_157,0,0,21,0,0.0,157,41,2,0,4.3,42.8,2020-10-17T11:30:00Z,90,11,0,0,0,0,5,6,616643,2,2,0.0,3,-57681,33008,90689,50,True,0
Gary_Cahill_125,0,0,14,0,0.0,125,40,1,0,2.6,26.0,2020-10-18T13:00:00Z,90,3,0,0,0,0,5,0,5291,1,1,0.0,2,377,896,519,45,True,0
Emiliano_Martínez_12,0,2,30,1,0.0,12,43,0,0,2.8,28.4,2020-10-18T18:15:00Z,90,9,0,0,0,0,5,5,1479843,1,0,0.0,9,419020,459020,40000,47,False,0
Kieron_Freeman_292,0,0,0,0,0.0,292,47,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,16,0,0,0,0,5,0,7784,1,0,0.0,0,-509,322,831,44,True,0
Calum_Chambers_467,0,0,0,0,0.0,467,49,0,0,0.0,0.0,2019-09-15T15:30:00Z,0,18,0,0,0,0,5,0,57955,2,2,0.0,0,-4800,2247,7047,45,False,0
