name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Kelland_Watts_342,0,0,0,0,0.0,342,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,3,0,0,0,0,2,0,20087,3,0,0.0,0,-2289,742,3031,40,True,0
Davinson_Sánchez_398,0,0,8,0,0.2,398,17,2,0,1.1,11.2,2020-09-20T11:00:00Z,90,16,0,0,0,0,2,0,62588,5,2,0.0,1,-10521,1670,12191,55,False,0
Willy_Boly_458,0,0,10,0,0.3,458,18,3,0,2.3,18.8,2020-09-21T19:15:00Z,90,12,0,0,0,0,2,0,153262,3,1,4.0,1,-6419,8762,15181,55,True,0
Jeff_Hendrick_100,0,0,0,0,0.0,100,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,1,0,0,0,0,2,0,6144,1,2,0.0,0,-635,195,830,55,False,0
Charlie_Taylor_87,0,0,0,0,0.0,87,11,0,0,0.0,0.0,2019-08-17T11:30:00Z,0,1,0,0,0,0,2,0,76445,1,2,0.0,0,-16408,359,16767,45,False,0
Ben_Davies_395,0,0,2,0,2.0,395,17,2,0,0.6,4.4,2020-09-20T11:00:00Z,90,16,0,0,0,0,2,0,155739,5,2,0.0,1,-12410,13490,25900,50,False,0
Angus_Gunn_319,0,0,16,0,0.0,319,19,2,0,3.0,30.2,2019-08-17T14:00:00Z,90,10,0,0,0,0,2,4,49588,2,1,0.0,2,-3047,1311,4358,45,True,0
Junior_Stanislas_77,0,0,0,0,0.0,77,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,338,2,1,0.0,0,-54,21,75,60,False,0
Florian_Lejeune_257,0,0,0,0,0.0,257,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,212,1,3,0.0,0,-33,14,47,45,False,0
Ryan_Fredericks_380,0,0,9,0,11.6,380,13,1,0,2.5,11.8,2019-08-17T14:00:00Z,90,4,0,0,0,0,2,0,21244,1,1,2.0,2,-333,1547,1880,45,False,0
Aaron_Wan-Bissaka_313,0,0,0,0,0.0,313,15,0,0,0.0,0.0,2020-09-19T16:30:00Z,0,6,0,0,0,0,2,0,865810,3,1,0.0,0,59156,118395,59239,55,True,0
Serge_Aurier_336,0,0,0,0,0.0,336,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,11,0,0,0,0,2,0,20218,2,2,0.0,0,-1704,1785,3489,50,False,0
André Filipe_Tavares Gomes_422,0,0,12,1,21.9,422,15,0,0,3.5,13.4,2019-08-17T14:00:00Z,90,18,0,0,0,0,2,0,53847,0,1,0.0,2,-18492,1847,20339,55,True,1
João Pedro Cavaco_Cancelo_518,0,0,0,0,0.0,518,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,0,17,0,0,0,0,2,0,84445,2,2,0.0,0,-5912,11337,17249,55,True,0
