name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Jonjo_Shelvey_321,0,0,0,0,0.0,321,58,0,0,0.0,0.0,2020-10-25T16:30:00Z,0,20,0,0,0,0,6,0,18116,1,1,0.0,0,-1308,512,1820,54,False,0
Patrick_Roberts_435,0,0,2,0,0.0,435,52,0,0,0.0,0.0,2019-09-21T14:00:00Z,1,5,0,0,0,0,6,0,4641,0,2,0.0,1,-259,176,435,53,False,0
Gedson_Carvalho Fernandes_401,0,0,0,0,0.0,401,52,0,0,0.0,0.0,2020-10-26T20:00:00Z,0,4,0,0,0,0,6,0,5724,1,0,0.0,0,-256,180,436,48,False,0
Kyle_Edwards_421,0,0,7,0,11.3,421,51,0,0,2.0,7.0,2020-10-26T17:30:00Z,27,3,0,0,0,0,6,0,1989,1,1,2.0,1,-135,30,165,49,False,0
Wesley_Fofana_561,0,0,21,1,1.1,561,49,0,0,1.5,14.0,2020-10-25T19:15:00Z,90,1,0,0,0,0,6,0,2589,1,0,0.0,5,1159,1454,295,50,False,1
Sam_Byram_454,0,0,12,0,7.6,454,52,2,0,4.4,30.8,2019-09-21T14:00:00Z,90,5,0,0,0,0,6,0,10090,0,2,6.0,1,1293,1859,566,44,False,0
Joel_Ward_126,1,1,22,0,7.3,126,54,1,0,2.5,17.0,2019-09-22T13:00:00Z,90,20,0,0,0,0,6,0,167577,1,1,1.0,6,21041,34179,13138,45,True,0
Eric_Bailly_310,0,0,0,0,0.0,310,55,0,0,0.0,0.0,2020-10-24T16:30:00Z,0,5,0,0,0,0,6,0,17499,0,0,0.0,0,-2918,334,3252,49,True,0
N'Golo_Kanté_113,0,0,12,1,2.3,113,55,0,0,0.8,5.2,2020-10-24T16:30:00Z,90,13,0,0,0,0,6,0,244737,0,0,0.0,3,-12997,9706,22703,49,False,0
Filip_Krovinovic_555,0,0,13,0,7.4,555,51,1,0,4.0,19.0,2020-10-26T17:30:00Z,90,3,0,0,0,0,6,0,566,1,1,14.0,2,74,138,64,50,False,0
Mario_Lemina_493,0,0,11,0,5.9,493,53,2,0,1.7,11.0,2020-10-24T14:00:00Z,78,6,0,0,0,0,6,0,36144,2,1,0.0,2,-3562,867,4429,45,True,0
Michail_Antonio_389,0,0,0,0,0.0,389,60,0,0,0.0,0.0,2019-09-22T13:00:00Z,0,12,0,0,0,0,6,0,56986,0,2,0.0,0,-4957,28,4985,69,True,0
David_Brooks_76,0,0,0,0,0.0,76,59,0,0,0.0,0.0,2019-09-20T19:00:00Z,0,16,0,0,0,0,6,0,8731,3,1,0.0,0,-595,40,635,63,False,0
Callum_Wilson_506,1,0,14,0,13.2,506,58,1,0,4.1,3.8,2020-10-25T16:30:00Z,90,20,0,0,0,0,6,0,992172,1,1,24.0,5,4821,129025,124204,65,False,0
Troy_Deeney_362,0,0,0,0,0.0,362,57,0,0,0.0,0.0,2019-09-21T14:00:00Z,0,11,0,0,0,0,6,0,44127,0,8,0.0,0,-5072,66,5138,62,False,0
Jamie_Vardy_224,0,2,26,0,0.8,224,49,0,1,7.0,35.2,2020-10-25T19:15:00Z,30,1,0,0,0,0,6,0,1240334,1,0,34.0,7,-489382,10116,499498,100,False,0
Eberechi_Eze_489,0,0,2,0,11.3,489,53,1,0,6.1,5.4,2020-10-24T14:00:00Z,14,8,0,0,0,0,6,0,26920,2,1,44.0,1,-3501,827,4328,59,False,0
Tom_Davies_154,0,0,0,0,0.0,154,55,0,0,0.0,0.0,2019-09-21T14:00:00Z,0,15,0,0,0,0,6,0,7929,2,0,0.0,0,-351,170,521,54,True,0
Ryan_Fredericks_438,0,0,0,0,0.0,438,57,0,0,0.0,0.0,2020-10-24T11:30:00Z,0,12,0,0,0,0,6,0,22446,1,1,0.0,0,-1282,800,2082,44,True,0
Rayan_Ait Nouri_563,0,0,0,0,0.0,563,58,0,0,0.0,0.0,2020-10-25T16:30:00Z,0,14,0,0,0,0,6,0,1175,1,1,0.0,0,-8,304,312,50,True,0
Matej_Vydra_93,0,0,3,0,0.0,93,52,0,0,0.0,0.0,2020-10-26T20:00:00Z,1,17,0,0,0,0,6,0,59497,1,0,0.0,1,-2675,6254,8929,50,True,0
Robbie_Brady_98,0,0,3,0,0.1,98,52,0,0,0.0,0.0,2019-09-21T14:00:00Z,1,14,0,0,0,0,6,0,1387,0,2,0.0,1,67,120,53,55,True,0
Mason_Greenwood_234,0,0,0,0,0.0,234,60,0,0,0.0,0.0,2019-09-22T13:00:00Z,0,19,0,0,0,0,6,0,908656,0,2,0.0,0,-79977,40575,120552,45,False,0
Wesley_Moraes_48,0,0,0,0,0.0,48,50,0,0,0.0,0.0,2020-10-23T19:00:00Z,0,10,0,0,0,0,6,0,748,3,0,0.0,0,-14,77,91,60,True,0
Jürgen_Locadia_45,0,0,0,0,0.0,45,58,0,0,0.0,0.0,2019-09-21T16:30:00Z,0,13,0,0,0,0,6,0,8344,0,0,0.0,0,-1381,24,1405,53,False,0
David_Silva_219,1,0,44,1,21.9,219,57,0,1,15.5,43.8,2019-09-21T14:00:00Z,90,18,0,0,0,0,6,0,578624,0,8,89.0,11,5570,67924,62354,75,True,0
Nathan_Ferguson_145,0,0,0,0,0.0,145,53,0,0,0.0,0.0,2020-10-24T14:00:00Z,0,8,0,0,0,0,6,0,70721,2,1,0.0,0,-6420,1238,7658,40,False,0
Mateo_Kovacic_107,0,0,0,0,0.0,107,55,0,0,0.0,0.0,2020-10-24T16:30:00Z,0,13,0,0,0,0,6,0,22553,0,0,0.0,0,-2864,914,3778,54,False,0
Trent_Alexander-Arnold_182,0,0,24,0,29.8,182,53,1,1,8.8,51.0,2019-09-22T15:30:00Z,90,6,0,0,0,0,6,0,1799651,2,1,7.0,7,860,68444,67584,71,False,1
